Location_ID,Distance,Priority
L497,0.03,High
L498,0.01,High
L499,0.04,High
L500,0.03,High
L501,0.04,High
L502,0.07,Medium
L503,0.16,High
L504,0.06,High
L505,0.18,High
L506,0.13,High
L507,0.06,High
L508,0.03,Medium
L509,0.11,High
L510,0.08,High
L511,0.18,Medium
L512,0.13,High
L513,0.13,Medium
L514,0.08,High
L515,0.16,High
L516,0.11,Low
L517,0.11,Medium
L518,0.07,High
L519,0.13,High
L520,0.07,High
L521,0.18,High
L522,0.18,High
L523,0.03,High
L524,0.11,High
L525,0.04,High
L526,0.03,High
L527,0.08,Medium
L528,0.07,High
L529,0.03,High
L530,0.08,Medium
L531,0.11,High
L532,0.07,High
L533,0.04,High
L534,0.1,High
L535,0.16,High
L536,0.18,Medium
L537,0.06,High
L538,0.04,High
L539,0.13,High
L540,0.06,Medium
L541,0.16,High
L542,0.2,High
L543,0.07,High
L544,0.04,High
L545,0.07,High
L546,0.16,High
L547,0.07,High
L548,0.16,High
L549,0.06,High
L550,0.18,High
L551,0.1,High
L552,0.16,Medium
L553,0.16,Low
L554,0.18,Low
L555,0.01,High
L556,0.11,High
L557,0.11,Low
L558,0.18,High
L559,0.11,High
L560,0.13,Low
L561,0.11,High
L562,0.01,High
L563,0.18,High
L564,0.03,High
L565,0.08,High
L566,0.01,High
L567,0.16,Medium
L568,0.06,High
L569,0.08,Medium
L570,0.11,High
L571,0.1,High
L572,0.03,High
L573,0.18,High
L574,0.01,High
L575,0.11,High
L576,0.1,Medium
L577,0.04,High
L578,0.16,Medium
L579,0.08,High
L580,0.1,Low
L581,0.07,High
L582,0.1,Low
L583,0.08,High
L584,0.08,High
L585,0.04,High
L586,0.16,Medium
L587,0.04,High
L588,0.2,Medium
L589,0.13,Medium
L590,0.01,High
L591,0.11,High
L592,0.03,Medium
L593,0.11,High
L594,0.04,High
L595,0.04,Medium
L596,0.04,High
L597,0.1,High
L598,0.16,Medium
L599,0.1,High
L600,0.1,High
L601,0.18,Medium
L602,0.11,High
L603,0.16,High
L604,0.11,High
L605,0.18,High
L606,0.04,High
L607,0.11,High
L608,0.1,High
L609,0.1,High
L610,0.16,High
L611,0.1,High
L612,0.1,High
L613,0.08,Low
L614,0.18,High
L615,0.01,High
L616,0.01,High
L617,0.13,High
L618,0.04,High
L619,0.11,High
L620,0.01,Medium
L621,0.04,High
L622,0.04,High
L623,0.07,High
L624,0.2,High
L625,0.13,High
L626,0.16,High
L627,0.08,High
L628,0.18,Medium
L629,0.06,High
L630,0.16,High
L631,0.01,High
L632,0.16,Low
L633,0.13,High
L634,0.01,High
L635,0.04,Low
L636,0.11,Medium
L637,0.04,Medium
L638,0.16,Medium
L639,0.01,High
L640,0.07,High
L641,0.1,High
L642,0.01,Medium
L643,0.03,High
L644,0.08,High
L645,0.01,High
L646,0.06,High
L647,0.11,High
L648,0.04,High
L649,0.03,High
L650,0.03,High
L651,0.18,High
L652,0.08,High
L653,0.06,High
L654,0.11,High
L655,0.07,High
L656,0.1,High
L657,0.08,High
L658,0.13,High
L659,0.03,High
L660,0.03,High
L661,0.16,High
L662,0.08,High
L663,0.04,High
L664,0.07,Medium
L665,0.01,High
L666,0.01,High
L667,0.18,High
L668,0.06,High
L669,0.1,High
L670,0.01,High
L671,0.03,High
L672,0.01,High
L673,0.13,High
L674,0.1,High
L675,0.13,High
L676,0.07,High
L677,0.01,High
L678,0.08,High
L679,0.13,High
L680,0.18,High
L681,0.08,High
L682,0.18,High
L683,0.1,High
L684,0.06,High
L685,0.1,High
L686,0.11,Medium
L687,0.08,High
L688,0.11,High
L689,0.08,High
L690,0.08,High
L691,0.07,High
L692,0.1,Medium
L693,0.03,Medium
L694,0.16,High
L695,0.1,High
L696,0.11,High
L697,0.06,High
L698,0.11,High
L699,0.08,Medium
L700,0.11,High
L701,0.11,High
L702,0.03,Medium
L703,0.06,High
L704,0.16,High
L705,0.16,High
L706,0.18,High
L707,0.16,High
L708,0.06,High
L709,0.07,High
L710,0.03,High
L711,0.04,Medium
L712,0.03,High
L713,0.08,High
L714,0.04,High
L715,0.08,High
L716,0.03,High
L717,0.11,High
L718,0.04,High
L719,0.07,High
L720,0.13,Medium
L721,0.07,High
L722,0.08,High
L723,0.01,High
L724,0.03,High
L725,0.03,High
L726,0.11,High
L727,0.06,Medium
L728,0.06,High
L729,0.18,High
L730,0.04,High
L731,0.07,High
L732,0.03,Medium
L733,0.04,High
L734,0.04,Medium
L735,0.04,Medium
L736,0.11,High
L737,0.06,High
L738,0.04,High
L739,0.08,High
L740,0.06,Medium
L741,0.06,High
L742,0.18,Medium
L743,0.04,High
L744,0.06,High
L745,0.04,High
L746,0.01,High
L747,0.03,Medium
L748,0.1,High
L749,0.18,High
L750,0.03,High
L751,0.07,High
L752,0.16,High
L753,0.07,High
L754,0.04,High
L755,0.07,High
L756,0.03,High
L757,0.16,High
L758,0.04,High
L759,0.1,High
L760,0.13,High
L761,0.04,High
L762,0.04,High
L763,0.04,High
L764,0.01,High
L765,0.08,High
L766,0.13,High
L767,0.1,High
L768,0.07,High
L769,0.01,High
L770,0.1,High
L771,0.01,High
L772,0.1,High
L773,0.11,High
L774,0.01,High
L775,0.07,High
L776,0.07,High
L777,0.16,High
L778,0.01,Medium
L779,0.04,Low
L780,0.06,High
L781,0.01,High
L782,0.04,High
L783,0.08,Medium
L784,0.1,High
L785,0.07,High
L786,0.18,High
L787,0.06,High
L788,0.01,High
L789,0.18,High
L790,0.04,High
L791,0.18,High
L792,0.07,Medium
L793,0.01,High
L794,0.13,High
L795,0.08,Medium
L796,0.03,High
L797,0.04,High
L798,0.11,High
L799,0.04,High
L800,0.08,High
L801,0.04,High
L802,0.03,Medium
L803,0.03,High
L804,0.1,High
L805,0.18,High
L806,0.1,High
L807,0.08,High
L808,0.03,High
L809,0.07,High
L810,0.06,High
L811,0.18,High
L812,0.16,Low
L813,0.11,Medium
L814,0.06,High
L815,0.03,High
L816,0.01,High
L817,0.03,High
L818,0.13,High
L819,0.16,High
L820,0.18,High
L821,0.04,High
L822,0.1,High
L823,0.06,High
L824,0.07,High
L825,0.08,High
L826,0.08,High
L827,0.01,High
L828,0.11,High
L829,0.1,High
L830,0.1,Low
L831,0.03,High
L832,0.01,High
L833,0.1,Medium
L834,0.1,Medium
L835,0.03,High
L836,0.1,Medium
L837,0.07,High
L838,0.13,High
L839,0.06,High
L840,0.2,High
L841,0.03,High
L842,0.11,High
L843,0.16,High
L844,0.01,High
L845,0.07,High
L846,0.03,High
L847,0.13,Low
L848,0.04,High
L849,0.13,High
L850,0.04,High
L851,0.03,High
L852,0.03,High
L853,0.04,High
L854,0.18,High
L855,0.16,High
L856,0.18,High
L857,0.1,High
L858,0.07,High
L859,0.18,High
L860,0.16,High
L861,0.01,High
L862,0.18,High
L863,0.08,High
L864,0.08,High
L865,0.11,Medium
L866,0.11,High
L867,0.1,Medium
L868,0.03,High
L869,0.13,Medium
L870,0.1,Medium
L871,0.01,Medium
L872,0.08,High
L873,0.08,Medium
L874,0.2,High
L875,0.04,High
L876,0.13,High
L877,0.08,High
L878,0.07,High
L879,0.03,Medium
L880,0.01,High
L881,0.06,Medium
L882,0.07,Medium
L883,0.16,High
L884,0.13,High
L885,0.03,High
L886,0.16,High
L887,0.1,High
L888,0.1,High
L889,0.08,High
L890,0.03,High
L891,0.18,High
L892,0.13,High
L893,0.16,Medium
L894,0.13,Medium
L895,0.1,High
L896,0.13,Low
L897,0.07,High
L898,0.07,High
L899,0.06,High
L900,0.01,High
L901,0.04,High
L902,0.18,High
L903,0.07,High
L904,0.18,High
L905,0.07,High
L906,0.18,High
L907,0.16,Low
L908,0.11,High
L909,0.13,High
L910,0.03,High
L911,0.13,High
L912,0.13,High
L913,0.11,High
L914,0.16,Medium
L915,0.11,High
L916,0.16,Medium
L917,0.04,High
L918,0.1,High
L919,0.18,Medium
L920,0.16,High
L921,0.13,High
L922,0.06,High
L923,0.03,High
L924,0.16,Medium
L925,0.18,High
L926,0.07,High
L927,0.03,Medium
L928,0.1,High
L929,0.08,Medium
L930,0.04,Medium
L931,0.08,High
L932,0.18,High
L933,0.11,High
L934,0.03,High
L935,0.03,High
L936,0.06,High
L937,0.1,High
L938,0.13,High
L939,0.03,Medium
L940,0.1,High
L941,0.18,Medium
L942,0.11,High
L943,0.1,Low
L944,0.11,High
L945,0.07,High
L946,0.04,High
L947,0.03,High
L948,0.13,High
L949,0.18,Low
L950,0.04,High
L951,0.18,High
L952,0.03,High
L953,0.2,High
L954,0.11,High
L955,0.01,High
L956,0.1,Medium
L957,0.11,High
L958,0.1,High
L959,0.11,High
L960,0.07,High
L961,0.13,High
L962,0.08,High
L963,0.07,High
L964,0.11,High
L965,0.06,High
L966,0.18,High
L967,0.07,High
L968,0.06,High
L969,0.1,High
L970,0.06,High
L971,0.18,High
L972,0.13,High
L973,0.18,High
L974,0.1,Medium
L975,0.13,High
L976,0.01,High
L977,0.04,High
L978,0.11,High
L979,0.18,Low
L980,0.07,High
L981,0.16,High
L982,0.13,High
L983,0.18,High
L984,0.04,High
L985,0.06,High
L986,0.03,High
L987,0.08,High
L988,0.03,High
L989,0.06,High
L990,0.06,High
L991,0.04,High
L992,0.07,High
L993,0.18,High
L994,0.2,High
L995,0.08,High
L996,0.04,High
L997,0.04,Medium
L998,0.11,High
L999,0.18,High
L1000,0.01,High
L1001,0.01,High
L1002,0.08,High
L1003,0.08,Medium
L1004,0.13,Medium
L1005,0.08,High
L1006,0.1,High
L1007,0.07,High
L1008,0.04,High
L1009,0.18,High
L1010,0.11,High
L1011,0.11,High
L1012,0.04,High
L1013,0.11,High
L1014,0.1,High
L1015,0.06,High
L1016,0.11,High
L1017,0.11,High
L1018,0.01,High
L1019,0.01,High
L1020,0.08,High
L1021,0.16,High
L1022,0.06,High
L1023,0.01,High
L1024,0.04,High
L1025,0.04,High
L1026,0.16,Medium
L1027,0.03,High
L1028,0.18,High
L1029,0.06,High
L1030,0.2,High
L1031,0.07,High
L1032,0.04,High
L1033,0.16,High
L1034,0.07,Medium
L1035,0.1,High
L1036,0.16,High
L1037,0.08,High
L1038,0.08,High
L1039,0.2,High
L1040,0.08,Medium
L1041,0.13,High
L1042,0.07,High
L1043,0.07,Medium
L1044,0.03,High
L1045,31.15,High
L1046,0.18,High
L1047,0.03,High
L1048,0.16,Medium
L1049,0.03,Medium
L1050,0.16,High
L1051,0.16,High
L1052,0.11,High
L1053,0.16,High
L1054,0.1,High
L1055,0.13,High
L1056,0.1,Medium
L1057,0.16,High
L1058,0.1,Medium
L1059,0.16,High
L1060,0.03,High
L1061,0.06,Medium
L1062,0.16,High
L1063,0.13,High
L1064,0.11,High
L1065,0.1,High
L1066,0.13,High
L1067,0.1,Medium
L1068,0.07,High
L1069,0.04,Medium
L1070,0.04,High
L1071,0.06,High
L1072,0.07,High
L1073,0.13,High
L1074,0.08,High
L1075,0.18,High
L1076,0.04,High
L1077,0.18,Medium
L1078,0.04,High
L1079,0.08,Medium
L1080,0.07,High
L1081,0.06,High
L1082,0.04,High
L1083,0.18,High
L1084,0.04,High
L1085,0.08,High
L1086,0.18,High
L1087,0.06,High
L1088,0.2,High
L1089,0.16,Medium
L1090,0.11,High
L1091,0.13,High
L1092,0.18,High
L1093,0.11,Medium
L1094,0.08,High
L1095,0.03,Medium
L1096,0.01,High
L1097,0.13,High
L1098,0.13,High
L1099,0.01,High
L1100,0.07,High
L1101,0.07,High
L1102,0.1,High
L1103,0.13,High
L1104,0.01,High
L1105,0.1,Medium
L1106,0.03,High
L1107,0.07,High
L1108,0.04,High
L1109,0.06,Medium
L1110,0.16,High
L1111,0.06,High
L1112,0.04,High
L1113,0.11,Medium
L1114,0.07,High
L1115,0.16,High
L1116,0.16,High
L1117,0.11,High
L1118,0.11,High
L1119,0.11,High
L1120,0.13,High
L1121,0.06,Medium
L1122,0.1,High
L1123,0.13,High
L1124,0.03,High
L1125,0.06,High
L1126,0.1,Medium
L1127,0.16,Medium
L1128,0.04,High
L1129,0.1,Medium
L1130,0.03,High
L1131,0.07,High
L1132,0.18,High
L1133,0.07,High
L1134,0.04,High
L1135,0.07,High
L1136,0.03,High
L1137,0.1,High
L1138,0.04,High
L1139,0.18,Medium
L1140,0.07,High
L1141,0.03,High
L1142,0.13,High
L1143,0.07,High
L1144,0.01,High
L1145,0.04,High
L1146,0.11,High
L1147,0.11,High
L1148,0.06,High
L1149,0.07,High
L1150,0.03,High
L1151,0.16,High
L1152,0.08,Medium
L1153,0.07,High
L1154,0.01,High
L1155,0.01,High
L1156,0.07,High
L1157,0.07,Medium
L1158,0.08,High
L1159,0.13,High
L1160,0.08,Medium
L1161,0.08,High
L1162,0.06,High
L1163,0.13,High
L1164,0.13,Medium
L1165,0.1,Medium
L1166,0.03,High
L1167,0.18,High
L1168,0.04,High
L1169,0.06,High
L1170,0.07,High
L1171,0.08,High
L1172,0.16,High
L1173,0.07,High
L1174,0.08,High
L1175,0.07,High
L1176,0.08,High
L1177,0.1,High
L1178,0.03,High
L1179,0.13,High
L1180,0.08,High
L1181,0.16,High
L1182,0.16,High
L1183,0.07,High
L1184,0.04,Medium
L1185,0.04,High
L1186,0.03,High
L1187,0.03,High
L1188,0.04,High
L1189,0.11,High
L1190,0.04,High
L1191,0.06,High
L1192,0.06,High
L1193,0.06,High
L1194,0.07,High
L1195,0.07,High
L1196,0.08,High
L1197,0.01,High
L1198,0.04,High
L1199,0.16,High
L1200,0.08,High
L1201,0.04,High
L1202,0.18,High
L1203,0.01,Medium
L1204,0.16,Medium
L1205,0.08,High
L1206,0.01,High
L1207,0.06,High
L1208,0.08,High
L1209,0.07,Medium
L1210,0.03,High
L1211,0.13,High
L1212,0.08,High
L1213,0.16,High
L1214,0.1,High
L1215,0.03,High
L1216,0.07,High
L1217,0.03,High
L1218,0.07,High
L1219,0.04,High
L1220,0.07,High
L1221,0.01,High
L1222,0.03,High
L1223,0.18,Medium
L1224,0.08,High
L1225,0.08,High
L1226,0.18,High
L1227,0.08,Medium
L1228,0.11,Medium
L1229,0.08,Medium
L1230,0.1,High
L1231,0.06,High
L1232,0.03,High
L1233,0.06,High
L1234,0.07,High
L1235,0.11,High
L1236,0.18,High
L1237,0.13,High
L1238,0.07,High
L1239,0.04,High
L1240,0.11,High
L1241,0.01,High
L1242,0.08,Medium
L1243,0.06,Medium
L1244,0.18,Low
L1245,0.01,Medium
L1246,0.07,High
L1247,0.18,Medium
L1248,0.04,High
L1249,0.08,High
L1250,0.13,High
L1251,0.11,High
L1252,0.16,High
L1253,0.06,High
L1254,0.07,High
L1255,0.06,High
L1256,0.11,High
L1257,0.13,High
L1258,0.1,High
L1259,0.18,High
L1260,0.04,High
L1261,0.04,High
L1262,0.03,High
L1263,0.01,High
L1264,0.11,High
L1265,0.03,High
L1266,0.13,High
L1267,0.08,High
L1268,0.1,High
L1269,0.2,High
L1270,0.07,High
L1271,0.06,High
L1272,0.2,High
L1273,0.07,High
L1274,0.07,High
L1275,0.16,High
L1276,0.01,High
L1277,0.18,Low
L1278,0.18,High
L1279,0.06,High
L1280,0.01,High
L1281,0.07,High
L1282,0.18,High
L1283,0.11,High
L1284,0.13,High
L1285,0.1,High
L1286,0.08,High
L1287,0.04,High
L1288,0.18,High
L1289,0.04,High
L1290,0.16,High
L1291,0.07,High
L1292,0.16,High
L1293,0.11,High
L1294,0.03,High
L1295,0.04,High
L1296,0.03,High
L1297,0.08,High
L1298,0.07,High
L1299,0.08,High
L1300,0.11,High
L1301,0.03,High
L1302,0.1,Medium
L1303,0.11,High
L1304,0.16,Medium
L1305,0.13,High
L1306,0.11,High
L1307,0.1,High
L1308,0.18,High
L1309,0.08,High
L1310,0.08,High
L1311,0.03,High
L1312,0.08,Medium
L1313,0.06,High
L1314,0.11,High
L1315,0.1,High
L1316,0.07,High
L1317,0.18,High
L1318,0.04,High
L1319,0.13,High
L1320,0.01,High
L1321,0.18,High
L1322,0.06,High
L1323,0.11,Medium
L1324,0.18,High
L1325,0.1,High
L1326,0.16,High
L1327,0.08,High
L1328,0.16,High
L1329,0.07,High
L1330,0.11,High
L1331,0.01,High
L1332,0.03,High
L1333,0.07,High
L1334,0.16,Low
L1335,0.04,Medium
L1336,0.06,High
L1337,0.01,Medium
L1338,0.1,High
L1339,0.08,High
L1340,0.01,High
L1341,0.07,High
L1342,0.13,High
L1343,0.18,High
L1344,0.03,High
L1345,0.2,Medium
L1346,0.1,Medium
L1347,0.06,High
L1348,0.01,High
L1349,0.11,High
L1350,0.2,Medium
L1351,0.03,High
L1352,0.08,High
L1353,0.01,High
L1354,0.11,High
L1355,0.01,High
L1356,0.13,High
L1357,0.07,High
L1358,0.08,High
L1359,0.11,Medium
L1360,0.04,High
L1361,0.04,High
L1362,0.07,High
L1363,0.13,High
L1364,0.1,Medium
L1365,0.18,High
L1366,0.03,Medium
L1367,0.06,Medium
L1368,0.1,High
L1369,0.11,High
L1370,0.08,High
L1371,0.16,High
L1372,0.06,High
L1373,0.07,High
L1374,0.16,Medium
L1375,0.03,Medium
L1376,0.18,High
L1377,0.04,High
L1378,0.06,High
L1379,0.06,High
L1380,0.16,High
L1381,0.18,Low
L1382,0.03,Medium
L1383,0.11,High
L1384,0.03,High
L1385,0.18,Medium
L1386,0.2,Medium
L1387,0.08,Medium
L1388,0.13,High
L1389,0.07,High
L1390,0.11,Low
L1391,0.11,High
L1392,0.08,High
L1393,0.03,High
L1394,0.07,High
L1395,0.11,High
L1396,0.1,High
L1397,0.18,High
L1398,0.16,High
L1399,0.18,High
L1400,0.08,High
L1401,0.04,High
L1402,0.16,High
L1403,0.13,High
L1404,0.13,High
L1405,0.06,High
L1406,0.1,High
L1407,0.1,High
L1408,0.07,High
L1409,0.13,High
L1410,0.08,High
L1411,0.07,High
L1412,0.16,Medium
L1413,0.01,High
L1414,0.08,High
L1415,0.07,High
L1416,0.07,High
L1417,0.08,High
L1418,0.18,High
L1419,0.13,High
L1420,0.1,High
L1421,0.06,High
L1422,0.07,High
L1423,0.08,High
L1424,0.1,Medium
L1425,0.06,High
L1426,0.03,Medium
L1427,0.08,High
L1428,0.07,High
L1429,0.07,High
L1430,0.08,High
L1431,0.07,Medium
L1432,0.08,High
L1433,0.13,Medium
L1434,0.04,High
L1435,0.03,High
L1436,0.18,Medium
L1437,0.04,High
L1438,0.1,High
L1439,0.16,High
L1440,0.16,High
L1441,0.01,Medium
L1442,0.13,High
L1443,0.04,High
L1444,0.03,High
L1445,0.11,Low
L1446,0.07,High
L1447,0.06,High
L1448,0.07,High
