Location_ID,Distance,Priority,Assigned_Agent
L4835,0.01,High,Agent_C
L4844,0.01,High,Agent_A
L4887,0.01,High,Agent_B
L4918,0.01,High,Agent_C
L4925,0.01,High,Agent_A
L4937,0.01,High,Agent_B
L4976,0.01,High,Agent_C
L4992,0.01,High,Agent_A
L5000,0.01,High,Agent_B
L5031,0.01,High,Agent_C
L5066,0.01,High,Agent_A
L5083,0.01,High,Agent_B
L5091,0.01,High,Agent_C
L5106,0.01,High,Agent_A
L5124,0.01,High,Agent_B
L5139,0.01,High,Agent_C
L5156,0.01,High,Agent_A
L5162,0.01,High,Agent_B
L5174,0.01,High,Agent_C
L5192,0.01,High,Agent_A
L5195,0.01,High,Agent_B
L5199,0.01,High,Agent_C
L5205,0.01,High,Agent_A
L5217,0.01,High,Agent_B
L5219,0.01,High,Agent_C
L5222,0.01,High,Agent_A
L5227,0.01,High,Agent_B
L5233,0.01,High,Agent_C
L5236,0.01,High,Agent_A
L5246,0.01,High,Agent_B
L5247,0.01,High,Agent_C
L5250,0.01,High,Agent_A
L5252,0.01,High,Agent_B
L5267,0.01,High,Agent_C
L5272,0.01,High,Agent_A
L5297,0.01,High,Agent_B
L5302,0.01,High,Agent_C
L5357,0.01,High,Agent_A
L5366,0.01,High,Agent_B
L5371,0.01,High,Agent_C
L5374,0.01,High,Agent_A
L5405,0.01,High,Agent_B
L5437,0.01,High,Agent_C
L5463,0.01,High,Agent_A
L5484,0.01,High,Agent_B
L5488,0.01,High,Agent_C
L5502,0.01,High,Agent_A
L5512,0.01,High,Agent_B
L5513,0.01,High,Agent_C
L5518,0.01,High,Agent_A
L5539,0.01,High,Agent_B
L5541,0.01,High,Agent_C
L5562,0.01,High,Agent_A
L5582,0.01,High,Agent_B
L5583,0.01,High,Agent_C
L5587,0.01,High,Agent_A
L5592,0.01,High,Agent_B
L5628,0.01,High,Agent_C
L5660,0.01,High,Agent_A
L5669,0.01,High,Agent_B
L5695,0.01,High,Agent_C
L5705,0.01,High,Agent_A
L5706,0.01,High,Agent_B
L5715,0.01,High,Agent_C
L5718,0.01,High,Agent_A
L5724,0.01,High,Agent_B
L5756,0.01,High,Agent_C
L5761,0.01,High,Agent_A
L5769,0.01,High,Agent_B
L5819,0.01,High,Agent_C
L5820,0.01,High,Agent_A
L5832,0.01,High,Agent_B
L5846,0.01,High,Agent_C
L5849,0.01,High,Agent_A
L5850,0.01,High,Agent_B
L5879,0.01,High,Agent_C
L5883,0.01,High,Agent_A
L5908,0.01,High,Agent_B
L5938,0.01,High,Agent_C
L5960,0.01,High,Agent_A
L5961,0.01,High,Agent_B
L5988,0.01,High,Agent_C
L6002,0.01,High,Agent_A
L6008,0.01,High,Agent_B
L6023,0.01,High,Agent_C
L6024,0.01,High,Agent_A
L6027,0.01,High,Agent_B
L6046,0.01,High,Agent_C
L6104,0.01,High,Agent_A
L6115,0.01,High,Agent_B
L6127,0.01,High,Agent_C
L6133,0.01,High,Agent_A
L6143,0.01,High,Agent_B
L6152,0.01,High,Agent_C
L6164,0.01,High,Agent_A
L6191,0.01,High,Agent_B
L6219,0.01,High,Agent_C
L6242,0.01,High,Agent_A
L6291,0.01,High,Agent_B
L6313,0.01,High,Agent_C
L6325,0.01,High,Agent_A
L6349,0.01,High,Agent_B
L6362,0.01,High,Agent_C
L6383,0.01,High,Agent_A
L6385,0.01,High,Agent_B
L6386,0.01,High,Agent_C
L6392,0.01,High,Agent_A
L6400,0.01,High,Agent_B
L6411,0.01,High,Agent_C
L6417,0.01,High,Agent_A
L6452,0.01,High,Agent_B
L6474,0.01,High,Agent_C
L6494,0.01,High,Agent_A
L6504,0.01,High,Agent_B
L6522,0.01,High,Agent_C
L6524,0.01,High,Agent_A
L6537,0.01,High,Agent_B
L6546,0.01,High,Agent_C
L6548,0.01,High,Agent_A
L6553,0.01,High,Agent_B
L6557,0.01,High,Agent_C
L6591,0.01,High,Agent_A
L6605,0.01,High,Agent_B
L6621,0.01,High,Agent_C
L6638,0.01,High,Agent_A
L6642,0.01,High,Agent_B
L6663,0.01,High,Agent_C
L6710,0.01,High,Agent_A
L6742,0.01,High,Agent_B
L6745,0.01,High,Agent_C
L6757,0.01,High,Agent_A
L6759,0.01,High,Agent_B
L6796,0.01,High,Agent_C
L6798,0.01,High,Agent_A
L6801,0.01,High,Agent_B
L6808,0.01,High,Agent_C
L6838,0.01,High,Agent_A
L6845,0.01,High,Agent_B
L6857,0.01,High,Agent_C
L6862,0.01,High,Agent_A
L6878,0.01,High,Agent_B
L6890,0.01,High,Agent_C
L6895,0.01,High,Agent_A
L6897,0.01,High,Agent_B
L6899,0.01,High,Agent_C
L6914,0.01,High,Agent_A
L6919,0.01,High,Agent_B
L6947,0.01,High,Agent_C
L6955,0.01,High,Agent_A
L6961,0.01,High,Agent_B
L6964,0.01,High,Agent_C
L6967,0.01,High,Agent_A
L6971,0.01,High,Agent_B
L6979,0.01,High,Agent_C
L6987,0.01,High,Agent_A
L6995,0.01,High,Agent_B
L7008,0.01,High,Agent_C
L7022,0.01,High,Agent_A
L7034,0.01,High,Agent_B
L7038,0.01,High,Agent_C
L7073,0.01,High,Agent_A
L7075,0.01,High,Agent_B
L7094,0.01,High,Agent_C
L7101,0.01,High,Agent_A
L7109,0.01,High,Agent_B
L7123,0.01,High,Agent_C
L7171,0.01,High,Agent_A
L7199,0.01,High,Agent_B
L7222,0.01,High,Agent_C
L7223,0.01,High,Agent_A
L7250,0.01,High,Agent_B
L7277,0.01,High,Agent_C
L7307,0.01,High,Agent_A
L7326,0.01,High,Agent_B
L7329,0.01,High,Agent_C
L7332,0.01,High,Agent_A
L7337,0.01,High,Agent_B
L7345,0.01,High,Agent_C
L7346,0.01,High,Agent_A
L7356,0.01,High,Agent_B
L7373,0.01,High,Agent_C
L7410,0.01,High,Agent_A
L7435,0.01,High,Agent_B
L7438,0.01,High,Agent_C
L7446,0.01,High,Agent_A
L7462,0.01,High,Agent_B
L7469,0.01,High,Agent_C
L7484,0.01,High,Agent_A
L7490,0.01,High,Agent_B
L7491,0.01,High,Agent_C
L7517,0.01,High,Agent_A
L7521,0.01,High,Agent_B
L7526,0.01,High,Agent_C
L7530,0.01,High,Agent_A
L7537,0.01,High,Agent_B
L7544,0.01,High,Agent_C
L7557,0.01,High,Agent_A
L7559,0.01,High,Agent_B
L7571,0.01,High,Agent_C
L7594,0.01,High,Agent_A
L7651,0.01,High,Agent_B
L7658,0.01,High,Agent_C
L7660,0.01,High,Agent_A
L7670,0.01,High,Agent_B
L7677,0.01,High,Agent_C
L7679,0.01,High,Agent_A
L7706,0.01,High,Agent_B
L7716,0.01,High,Agent_C
L7730,0.01,High,Agent_A
L7736,0.01,High,Agent_B
L7742,0.01,High,Agent_C
L7769,0.01,High,Agent_A
L7774,0.01,High,Agent_B
L7782,0.01,High,Agent_C
L7793,0.01,High,Agent_A
L7800,0.01,High,Agent_B
L7804,0.01,High,Agent_C
L7826,0.01,High,Agent_A
L7862,0.01,High,Agent_B
L7864,0.01,High,Agent_C
L7871,0.01,High,Agent_A
L7887,0.01,High,Agent_B
L7898,0.01,High,Agent_C
L7900,0.01,High,Agent_A
L7904,0.01,High,Agent_B
L7933,0.01,High,Agent_C
L7938,0.01,High,Agent_A
L7942,0.01,High,Agent_B
L7944,0.01,High,Agent_C
L7970,0.01,High,Agent_A
L7980,0.01,High,Agent_B
L8012,0.01,High,Agent_C
L8055,0.01,High,Agent_A
L8081,0.01,High,Agent_B
L8096,0.01,High,Agent_C
L8099,0.01,High,Agent_A
L8122,0.01,High,Agent_B
L8126,0.01,High,Agent_C
L8149,0.01,High,Agent_A
L8169,0.01,High,Agent_B
L8183,0.01,High,Agent_C
L8186,0.01,High,Agent_A
L8188,0.01,High,Agent_B
L8195,0.01,High,Agent_C
L8204,0.01,High,Agent_A
L8211,0.01,High,Agent_B
L8219,0.01,High,Agent_C
L8230,0.01,High,Agent_A
L8231,0.01,High,Agent_B
L8236,0.01,High,Agent_C
L8240,0.01,High,Agent_A
L8259,0.01,High,Agent_B
L8262,0.01,High,Agent_C
L8277,0.01,High,Agent_A
L8298,0.01,High,Agent_B
L8304,0.01,High,Agent_C
L8319,0.01,High,Agent_A
L8361,0.01,High,Agent_B
L8363,0.01,High,Agent_C
L8389,0.01,High,Agent_A
L8446,0.01,High,Agent_B
L8450,0.01,High,Agent_C
L8488,0.01,High,Agent_A
L8507,0.01,High,Agent_B
L8522,0.01,High,Agent_C
L8533,0.01,High,Agent_A
L8535,0.01,High,Agent_B
L8536,0.01,High,Agent_C
L8555,0.01,High,Agent_A
L8559,0.01,High,Agent_B
L8563,0.01,High,Agent_C
L8592,0.01,High,Agent_A
L8594,0.01,High,Agent_B
L8609,0.01,High,Agent_C
L8618,0.01,High,Agent_A
L8642,0.01,High,Agent_B
L8666,0.01,High,Agent_C
L8672,0.01,High,Agent_A
L8678,0.01,High,Agent_B
L8718,0.01,High,Agent_C
L8730,0.01,High,Agent_A
L8742,0.01,High,Agent_B
L8748,0.01,High,Agent_C
L8752,0.01,High,Agent_A
L8759,0.01,High,Agent_B
L8771,0.01,High,Agent_C
L8775,0.01,High,Agent_A
L8781,0.01,High,Agent_B
L8782,0.01,High,Agent_C
L8783,0.01,High,Agent_A
L8787,0.01,High,Agent_B
L8798,0.01,High,Agent_C
L8812,0.01,High,Agent_A
L8834,0.01,High,Agent_B
L8836,0.01,High,Agent_C
L8850,0.01,High,Agent_A
L8885,0.01,High,Agent_B
L8897,0.01,High,Agent_C
L8916,0.01,High,Agent_A
L8918,0.01,High,Agent_B
L8933,0.01,High,Agent_C
L8943,0.01,High,Agent_A
L8948,0.01,High,Agent_B
L8950,0.01,High,Agent_C
L8951,0.01,High,Agent_A
L8960,0.01,High,Agent_B
L8972,0.01,High,Agent_C
L8998,0.01,High,Agent_A
L9025,0.01,High,Agent_B
L9030,0.01,High,Agent_C
L9123,0.01,High,Agent_A
L9127,0.01,High,Agent_B
L9139,0.01,High,Agent_C
L9143,0.01,High,Agent_A
L9159,0.01,High,Agent_B
L9161,0.01,High,Agent_C
L9173,0.01,High,Agent_A
L9178,0.01,High,Agent_B
L9196,0.01,High,Agent_C
L9197,0.01,High,Agent_A
L9209,0.01,High,Agent_B
L9215,0.01,High,Agent_C
L9222,0.01,High,Agent_A
L9225,0.01,High,Agent_B
L9230,0.01,High,Agent_C
L9238,0.01,High,Agent_A
L9245,0.01,High,Agent_B
L9276,0.01,High,Agent_C
L9282,0.01,High,Agent_A
L9317,0.01,High,Agent_B
L9325,0.01,High,Agent_C
L9358,0.01,High,Agent_A
L9396,0.01,High,Agent_B
L9403,0.01,High,Agent_C
L9405,0.01,High,Agent_A
L9431,0.01,High,Agent_B
L9432,0.01,High,Agent_C
L9435,0.01,High,Agent_A
L9449,0.01,High,Agent_B
L9460,0.01,High,Agent_C
L9461,0.01,High,Agent_A
L9462,0.01,High,Agent_B
L9463,0.01,High,Agent_C
L9465,0.01,High,Agent_A
L9471,0.01,High,Agent_B
L9492,0.01,High,Agent_C
L9494,0.01,High,Agent_A
L9509,0.01,High,Agent_B
L9523,0.01,High,Agent_C
L9527,0.01,High,Agent_A
L9533,0.01,High,Agent_B
L9583,0.01,High,Agent_C
L9586,0.01,High,Agent_A
L9598,0.01,High,Agent_B
L9610,0.01,High,Agent_C
L9613,0.01,High,Agent_A
L9629,0.01,High,Agent_B
L9656,0.01,High,Agent_C
L9724,0.01,High,Agent_A
L9746,0.01,High,Agent_B
L9778,0.01,High,Agent_C
L9801,0.01,High,Agent_A
L9812,0.01,High,Agent_B
L9815,0.01,High,Agent_C
L9851,0.01,High,Agent_A
L9861,0.01,High,Agent_B
L9872,0.01,High,Agent_C
L9873,0.01,High,Agent_A
L9918,0.01,High,Agent_B
L9929,0.01,High,Agent_C
L9970,0.01,High,Agent_A
L9996,0.01,High,Agent_B
L9999,0.01,High,Agent_C
L10028,0.01,High,Agent_A
L10029,0.01,High,Agent_B
L10035,0.01,High,Agent_C
L10039,0.01,High,Agent_A
L10060,0.01,High,Agent_B
L10065,0.01,High,Agent_C
L10068,0.01,High,Agent_A
L10079,0.01,High,Agent_B
L10090,0.01,High,Agent_C
L10117,0.01,High,Agent_A
L10138,0.01,High,Agent_B
L10147,0.01,High,Agent_C
L10152,0.01,High,Agent_A
L10161,0.01,High,Agent_B
L10165,0.01,High,Agent_C
L10194,0.01,High,Agent_A
L10201,0.01,High,Agent_B
L10204,0.01,High,Agent_C
L10235,0.01,High,Agent_A
L10270,0.01,High,Agent_B
L10279,0.01,High,Agent_C
L10296,0.01,High,Agent_A
L10307,0.01,High,Agent_B
L10312,0.01,High,Agent_C
L10331,0.01,High,Agent_A
L10342,0.01,High,Agent_B
L10345,0.01,High,Agent_C
L10372,0.01,High,Agent_A
L10383,0.01,High,Agent_B
L10400,0.01,High,Agent_C
L10407,0.01,High,Agent_A
L10419,0.01,High,Agent_B
L10460,0.01,High,Agent_C
L10487,0.01,High,Agent_A
L10488,0.01,High,Agent_B
L10494,0.01,High,Agent_C
L10504,0.01,High,Agent_A
L10533,0.01,High,Agent_B
L10554,0.01,High,Agent_C
L10566,0.01,High,Agent_A
L10574,0.01,High,Agent_B
L10576,0.01,High,Agent_C
L10579,0.01,High,Agent_A
L10611,0.01,High,Agent_B
L10625,0.01,High,Agent_C
L10626,0.01,High,Agent_A
L10632,0.01,High,Agent_B
L10633,0.01,High,Agent_C
L10639,0.01,High,Agent_A
L10654,0.01,High,Agent_B
L10660,0.01,High,Agent_C
L10668,0.01,High,Agent_A
L10682,0.01,High,Agent_B
L10705,0.01,High,Agent_C
L10711,0.01,High,Agent_A
L10712,0.01,High,Agent_B
L10715,0.01,High,Agent_C
L10718,0.01,High,Agent_A
L10740,0.01,High,Agent_B
L10743,0.01,High,Agent_C
L10751,0.01,High,Agent_A
L10768,0.01,High,Agent_B
L10782,0.01,High,Agent_C
L10787,0.01,High,Agent_A
L10788,0.01,High,Agent_B
L10789,0.01,High,Agent_C
L10793,0.01,High,Agent_A
L10799,0.01,High,Agent_B
L10834,0.01,High,Agent_C
L10836,0.01,High,Agent_A
L10846,0.01,High,Agent_B
L10871,0.01,High,Agent_C
L10888,0.01,High,Agent_A
L10909,0.01,High,Agent_B
L10916,0.01,High,Agent_C
L10961,0.01,High,Agent_A
L10963,0.01,High,Agent_B
L10964,0.01,High,Agent_C
L10965,0.01,High,Agent_A
L10967,0.01,High,Agent_B
L11004,0.01,High,Agent_C
L11012,0.01,High,Agent_A
L11017,0.01,High,Agent_B
L11030,0.01,High,Agent_C
L11041,0.01,High,Agent_A
L11062,0.01,High,Agent_B
L11065,0.01,High,Agent_C
L11090,0.01,High,Agent_A
L11101,0.01,High,Agent_B
L11121,0.01,High,Agent_C
L11144,0.01,High,Agent_A
L11175,0.01,High,Agent_B
L11195,0.01,High,Agent_C
L11196,0.01,High,Agent_A
L11220,0.01,High,Agent_B
L11237,0.01,High,Agent_C
L11255,0.01,High,Agent_A
L11267,0.01,High,Agent_B
L11283,0.01,High,Agent_C
L11295,0.01,High,Agent_A
L11322,0.01,High,Agent_B
L11334,0.01,High,Agent_C
L11347,0.01,High,Agent_A
L11350,0.01,High,Agent_B
L11363,0.01,High,Agent_C
L11366,0.01,High,Agent_A
L11367,0.01,High,Agent_B
L11403,0.01,High,Agent_C
L11404,0.01,High,Agent_A
L11415,0.01,High,Agent_B
L11435,0.01,High,Agent_C
L11453,0.01,High,Agent_A
L11454,0.01,High,Agent_B
L11465,0.01,High,Agent_C
L11476,0.01,High,Agent_A
L11483,0.01,High,Agent_B
L11547,0.01,High,Agent_C
L11549,0.01,High,Agent_A
L11554,0.01,High,Agent_B
L11556,0.01,High,Agent_C
L11561,0.01,High,Agent_A
L11563,0.01,High,Agent_B
L11571,0.01,High,Agent_C
L11573,0.01,High,Agent_A
L11601,0.01,High,Agent_B
L11607,0.01,High,Agent_C
L11641,0.01,High,Agent_A
L11649,0.01,High,Agent_B
L11650,0.01,High,Agent_C
L11677,0.01,High,Agent_A
L11685,0.01,High,Agent_B
L11717,0.01,High,Agent_C
L11720,0.01,High,Agent_A
L11721,0.01,High,Agent_B
L11729,0.01,High,Agent_C
L11735,0.01,High,Agent_A
L11771,0.01,High,Agent_B
L11805,0.01,High,Agent_C
L11815,0.01,High,Agent_A
L11820,0.01,High,Agent_B
L11823,0.01,High,Agent_C
